Token Name,Symbol,Address,Balance,Price (USD),Total Value (USD)
Injective,INJ,inj,0.0293456631,14.630000,0.429327
RealTrumPepe,RealTrumPepe,factory/inj1dm0yt646fsjsvznjz2twyht9ytcmwz3aqydjjp/RealTrumPepe,5000.0000000000,0.000000,0.000000
,,,,,
TOTAL,,,,,0.429327
